X,Y,OBJECTID,STN_NAME,STN_NO,location
103.7938509,1.427259979,175,WOODLANDS SOUTH MRT STATION,TE3,WOODLANDS
103.7879308,1.436066981,181,WOODLANDS MRT STATION,TE2,WOODLANDS
103.8905394,1.386723922,46,RENJONG LRT STATION,SW8,SENGKANG
103.8858441,1.389347953,74,TONGKANG LRT STATION,SW7,SENGKANG
103.8800296,1.392079839,67,LAYAR LRT STATION,SW6,SENGKANG
103.8763086,1.391885888,73,FERNVALE LRT STATION,SW5,SENGKANG
103.8756352,1.397318155,56,THANGGAM LRT STATION,SW4,SENGKANG
103.8812562,1.398212828,45,KUPANG LRT STATION,SW3,SENGKANG
103.8893048,1.397170196,44,FARMWAY LRT STATION,SW2,SENGKANG
103.8937972,1.396277631,70,CHENG LIM LRT STATION,SW1,SENGKANG
103.8954426,1.391609364,92,SENGKANG LRT STATION,STC,SENGKANG
103.8971947,1.384233561,89,RANGGUNG LRT STATION,SE5,SENGKANG
103.902174,1.383978902,68,KANGKAR LRT STATION,SE4,SENGKANG
103.9054391,1.388092704,81,BAKAU LRT STATION,SE3,SENGKANG
103.9059736,1.391468497,82,RUMBIA LRT STATION,SE2,SENGKANG
103.9004925,1.394493046,83,COMPASSVALE LRT STATION,SE1,SENGKANG
103.8972097,1.405088585,53,SOO TECK LRT STATION,PW7,PUNGGOL
103.8985585,1.408452426,72,SUMANG LRT STATION,PW6,PUNGGOL
103.9003138,1.411870458,52,NIBONG LRT STATION,PW5,PUNGGOL
103.9021563,1.415901719,51,SAMUDERA LRT STATION,PW4,PUNGGOL
103.9066508,1.41684852,71,PUNGGOL POINT LRT STATION,PW3,PUNGGOL
103.9065776,1.412770894,77,TECK LEE LRT STATION,PW2,PUNGGOL
103.9048316,1.409612685,43,SAM KEE LRT STATION,PW1,PUNGGOL
103.9024119,1.405194701,50,PUNGGOL LRT STATION,PTC,PUNGGOL
103.9086035,1.405234836,58,DAMAI LRT STATION,PE7,PUNGGOL
103.9127274,1.402286677,42,OASIS LRT STATION,PE6,PUNGGOL
103.9164867,1.399584853,54,KADALOOR LRT STATION,PE5,PUNGGOL
103.9161661,1.394524496,60,RIVIERA LRT STATION,PE4,PUNGGOL
103.9125809,1.393909226,55,CORAL EDGE LRT STATION,PE3,PUNGGOL
103.9089502,1.396912053,69,MERIDIAN LRT STATION,PE2,PUNGGOL
103.9059619,1.399281985,59,COVE LRT STATION,PE1,PUNGGOL
103.7864851,1.436875128,24,WOODLANDS MRT STATION,NS9,WOODLANDS
103.7740715,1.432514421,36,MARSILING MRT STATION,NS8,KRANJI
103.7621654,1.425177699,4,KRANJI MRT STATION,NS7,KRANJI
103.7474051,1.397535018,6,YEW TEE MRT STATION,NS5,KRANJI
103.7443409,1.385361693,19,CHOA CHU KANG MRT STATION,NS4,CHOA CHU KANG
103.7518935,1.358761857,35,BUKIT GOMBAK MRT STATION,NS3,CHOA CHU KANG
103.8628598,1.271336711,150,MARINA SOUTH PIER MRT STATION,NS28,MARINA BAY
103.8545978,1.276427355,128,MARINA BAY MRT STATION,NS27,MARINA BAY
103.8514617,1.284125611,186,RAFFLES PLACE MRT STATION,NS26,RAFFLES
103.8525859,1.292936243,95,CITY HALL MRT STATION,NS25,RAFFLES
103.8461152,1.298701307,144,DHOBY GHAUT MRT STATION,NS24,RAFFLES
103.8390752,1.300260055,112,SOMERSET MRT STATION,NS23,ORCHARD
103.8322415,1.303981012,113,ORCHARD MRT STATION,NS22,ORCHARD
103.8379853,1.3123201,191,NEWTON MRT STATION,NS21,ORCHARD
103.8438256,1.320440791,147,NOVENA MRT STATION,NS20,ORCHARD
103.7495668,1.349034109,32,BUKIT BATOK MRT STATION,NS2,CHOA CHU KANG
103.8475018,1.332628987,174,TOA PAYOH MRT STATION,NS19,BISHAN
103.8467978,1.340471684,182,BRADDELL MRT STATION,NS18,BISHAN
103.848144,1.350838988,158,BISHAN MRT STATION,NS17,BISHAN
103.849933,1.369347304,17,ANG MO KIO MRT STATION,NS16,ANG MO KIO
103.8495581,1.369933175,33,ANG MO KIO MRT STATION,NS16,ANG MO KIO
103.8449473,1.381756046,41,YIO CHU KANG MRT STATION,NS15,ANG MO KIO
103.8329799,1.41738337,3,KHATIB MRT STATION,NS14,KHATIB
103.835005,1.429443081,13,YISHUN MRT STATION,NS13,KHATIB
103.8200461,1.449050821,30,SEMBAWANG MRT STATION,NS11,SEMBAWANG
103.800988,1.440585001,12,ADMIRALTY MRT STATION,NS10,SEMBAWANG
103.7422865,1.33315262,20,JURONG EAST MRT STATION,NS1,JURONG
103.8616865,1.319395706,178,BOON KENG MRT STATION,NE9,BOON KENG
103.8541771,1.31235984,151,FARRER PARK MRT STATION,NE8,BOON KENG
103.849647,1.306800025,169,LITTLE INDIA MRT STATION,NE7,ORCHARD
103.8454882,1.299705459,164,DHOBY GHAUT MRT STATION,NE6,RAFFLES
103.8465552,1.288386024,157,CLARKE QUAY MRT STATION,NE5,RAFFLES
103.8434268,1.284359578,131,CHINATOWN MRT STATION,NE4,OUTRAM
103.8395747,1.279764543,156,OUTRAM PARK MRT STATION,NE3,OUTRAM
103.9020726,1.404546728,106,PUNGGOL MRT STATION,NE17,PUNGGOL
103.8954847,1.391694626,116,SENGKANG MRT STATION,NE16,SENGKANG
103.8931216,1.382877858,183,BUANGKOK MRT STATION,NE15,SENGKANG
103.8923805,1.371292292,177,HOUGANG MRT STATION,NE14,SERANGOON
103.8850649,1.360179171,119,KOVAN MRT STATION,NE13,SERANGOON
103.8735748,1.349707875,148,SERANGOON MRT STATION,NE12,SERANGOON
103.8708183,1.339190046,146,WOODLEIGH MRT STATION,NE11,BOON KENG
103.8690557,1.331379525,176,POTONG PASIR MRT STATION,NE10,BOON KENG
103.8214431,1.26547264,101,HARBOURFRONT MRT STATION,NE1,HARBOUR FRONT
103.882906,1.316432612,16,ALJUNIED MRT STATION,EW9,PAYA LEBAR
