index,name,cluster_no,gmm_cluster,spec_cluster
1,American_Restaurant,0,167,21
2,American_Restaurant,1,714,0
3,American_Restaurant,2,196,795
4,American_Restaurant,3,77,46
5,American_Restaurant,4,312,1081
6,American_Restaurant,5,94,202
7,American_Restaurant,6,96,0
8,American_Restaurant,7,71,0
9,American_Restaurant,8,425,0
10,Asian_Food,0,1,1
11,Asian_Food,1,22,0
12,Asian_Food,2,3,19
13,Asian_Food,3,3,0
14,Asian_Food,4,9,28
15,Asian_Food,5,1,2
16,Asian_Food,6,4,0
17,Asian_Food,7,1,0
18,Asian_Food,8,6,0
19,Asian_Restaurant,0,358,44
20,Asian_Restaurant,1,183,0
21,Asian_Restaurant,2,537,2290
22,Asian_Restaurant,3,36,127
23,Asian_Restaurant,4,992,3038
24,Asian_Restaurant,5,53,574
25,Asian_Restaurant,6,2694,0
26,Asian_Restaurant,7,50,0
27,Asian_Restaurant,8,1202,0
28,Bakery,0,205,13
29,Bakery,1,456,0
30,Bakery,2,164,716
31,Bakery,3,54,48
32,Bakery,4,389,877
33,Bakery,5,65,198
34,Bakery,6,74,0
35,Bakery,7,51,0
36,Bakery,8,406,0
37,Buffet,0,9,1
38,Buffet,1,74,0
39,Buffet,2,23,64
40,Buffet,3,22,5
41,Buffet,4,25,120
42,Buffet,5,5,14
43,Buffet,6,8,0
44,Buffet,7,5,0
45,Buffet,8,33,0
46,Cafe,0,3761,51
47,Cafe,2,113,2651
48,Cafe,3,0,189
49,Cafe,4,1310,3381
50,Cafe,5,86,749
51,Cafe,6,72,0
52,Cafe,7,141,0
53,Cafe,8,1566,0
54,Chinese_Restaurant,0,491,88
55,Chinese_Restaurant,1,1,0
56,Chinese_Restaurant,2,5557,3832
57,Chinese_Restaurant,3,0,198
58,Chinese_Restaurant,4,1848,5070
59,Chinese_Restaurant,5,57,978
60,Chinese_Restaurant,6,70,0
61,Chinese_Restaurant,7,46,0
62,Chinese_Restaurant,8,2132,0
63,Deli,0,7,1
64,Deli,1,25,0
65,Deli,2,8,23
66,Deli,3,0,1
67,Deli,4,10,46
68,Deli,5,5,9
69,Deli,6,4,0
70,Deli,7,1,0
71,Deli,8,21,0
72,Diner,0,454,36
73,Diner,1,4,0
74,Diner,2,483,2515
75,Diner,3,0,142
76,Diner,4,993,3116
77,Diner,5,2954,682
78,Diner,6,217,0
79,Diner,7,29,0
80,Diner,8,1383,0
81,English_Restaurant,0,53,3
82,English_Restaurant,1,116,0
83,English_Restaurant,2,44,141
84,English_Restaurant,3,7,7
85,English_Restaurant,4,55,212
86,English_Restaurant,5,12,30
87,English_Restaurant,6,24,0
88,English_Restaurant,7,15,0
89,English_Restaurant,8,70,0
90,European_Restaurant,0,297,17
91,European_Restaurant,1,1071,0
92,European_Restaurant,2,263,1316
93,European_Restaurant,3,67,85
94,European_Restaurant,4,625,1696
95,European_Restaurant,5,161,371
96,European_Restaurant,6,145,0
97,European_Restaurant,7,67,0
98,European_Restaurant,8,792,0
99,Fast_Food_Restaurant,0,172,27
100,Fast_Food_Restaurant,1,1,0
101,Fast_Food_Restaurant,2,350,1721
102,Fast_Food_Restaurant,3,0,99
103,Fast_Food_Restaurant,4,468,2165
104,Fast_Food_Restaurant,5,184,427
105,Fast_Food_Restaurant,6,170,0
106,Fast_Food_Restaurant,7,2481,0
107,Fast_Food_Restaurant,8,634,0
108,Food_Court,0,662,94
109,Food_Court,1,12,1
110,Food_Court,2,1471,4451
111,Food_Court,3,5278,194
112,Food_Court,4,1229,5586
113,Food_Court,5,423,1050
114,Food_Court,6,559,0
115,Food_Court,7,477,0
116,Food_Court,8,1281,0
117,HongKong_Restaurant,0,13,0
118,HongKong_Restaurant,1,46,0
119,HongKong_Restaurant,2,12,56
120,HongKong_Restaurant,3,5,3
121,HongKong_Restaurant,4,31,92
122,HongKong_Restaurant,5,10,18
123,HongKong_Restaurant,6,6,0
124,HongKong_Restaurant,7,11,0
125,HongKong_Restaurant,8,35,0
126,Indian_Restaurant,0,239,30
127,Indian_Restaurant,1,1301,0
128,Indian_Restaurant,2,275,1239
129,Indian_Restaurant,3,176,73
130,Indian_Restaurant,4,293,1537
131,Indian_Restaurant,5,190,342
132,Indian_Restaurant,6,167,0
133,Indian_Restaurant,7,176,0
134,Indian_Restaurant,8,408,0
135,Japanese_Restaurant,0,485,26
136,Japanese_Restaurant,1,1266,0
137,Japanese_Restaurant,2,485,1891
138,Japanese_Restaurant,3,116,113
139,Japanese_Restaurant,4,1052,2508
140,Japanese_Restaurant,5,199,521
141,Japanese_Restaurant,6,196,0
142,Japanese_Restaurant,7,84,0
143,Japanese_Restaurant,8,1188,0
144,Malay_Restaurant,0,31,2
145,Malay_Restaurant,1,151,0
146,Malay_Restaurant,2,37,157
147,Malay_Restaurant,3,18,9
148,Malay_Restaurant,4,74,221
149,Malay_Restaurant,5,18,45
150,Malay_Restaurant,6,26,0
151,Malay_Restaurant,7,22,0
152,Malay_Restaurant,8,62,0
153,Mediterranean_Restaurant,0,53,0
154,Mediterranean_Restaurant,1,169,0
155,Mediterranean_Restaurant,2,41,182
156,Mediterranean_Restaurant,3,16,13
157,Mediterranean_Restaurant,4,79,267
158,Mediterranean_Restaurant,5,26,56
159,Mediterranean_Restaurant,6,26,0
160,Mediterranean_Restaurant,7,16,0
161,Mediterranean_Restaurant,8,94,0
162,Mexican_Restaurant,0,115,7
163,Mexican_Restaurant,1,269,0
164,Mexican_Restaurant,2,72,349
165,Mexican_Restaurant,3,9,28
166,Mexican_Restaurant,4,197,479
167,Mexican_Restaurant,5,49,123
168,Mexican_Restaurant,6,37,0
169,Mexican_Restaurant,7,21,0
170,Mexican_Restaurant,8,218,0
