new_venue_type,venue_name,spe_clus_id,med_senti_score
American_Restaurant,Morganfield's,3,9.78
American_Restaurant,Opus Bar & Grill,4,9.75
American_Restaurant,MELD Grilled Kitchen,5,9.7
American_Restaurant,Scrummy Grill & BBQ,4,9.68
American_Restaurant,OverEasy Orchard,3,9.6
American_Restaurant,Bistecca Tuscan Steakhouse,3,9.58
American_Restaurant,Wooloomooloo Steakhouse,5,9.56
American_Restaurant,Banana Leaf BBQ Seafood,4,9.55
American_Restaurant,Blooie's Roadhouse Bar & Grill,5,9.47
American_Restaurant,Luke's Oyster Bar & Chop House,5,9.465
Asian_Food,Gerry's Grill,0,9.24
Asian_Food,Calle Real,2,8.55
Asian_Food,Calle Real,5,8.12
Asian_Food,Calle Real,4,7.7
Asian_Food,Iskina Cebu,2,7.46
Asian_Food,Turo Turo,2,7.46
Asian_Food,Gerry's Grill,2,7.045
Asian_Food,Turo Turo,4,6.96
Asian_Food,Gerry's Grill,4,6.43
Asian_Food,Iskina Cebu,4,5
Asian_Restaurant,I'm Kim Korean BBQ,5,9.75
Asian_Restaurant,Oven & Fried Chicken,3,9.66
Asian_Restaurant,Sarangchae Korean Restaurant,2,9.65
Asian_Restaurant,Al Waris Restaurant,5,9.645
Asian_Restaurant,Eight 8 Korean BBQ Shaw Centre,3,9.6
Asian_Restaurant,Meat Smith,3,9.6
Asian_Restaurant,Club July,5,9.56
Asian_Restaurant,Sri Bistari Changi Village Famous Ayam Penyet,2,9.56
Asian_Restaurant,Blue Bali on Cluny,5,9.55
Asian_Restaurant,Yu Kee House Of Braised Duck,4,9.52
Bakery,Uggli Muffins,2,9.64
Bakery,The Patissier,5,9.57
Bakery,727 Cakerie,4,9.45
Bakery,Cottage Pies Cafe,2,9.4
Bakery,パン達人 BAKER TALENT,5,9.39
Bakery,Green Pumpkin Japanese Bakery,2,9.36
Bakery,Bread of Love,4,9.34
Bakery,The Patissier,2,9.33
Bakery,Entre-Nous Creperie,5,9.3
Bakery,Dolcetto,4,9.28
Buffet,Colony,3,9.52
Buffet,edge | food theatre,3,9.08
Buffet,Colony,2,8.84
Buffet,Lime,2,8.71
Buffet,Lime,5,8.375
Buffet,edge | food theatre,4,8.34
Buffet,edge | food theatre,5,8.18
Buffet,MELT ~ The World Café,2,8.12
Buffet,edge | food theatre,2,7.96
Buffet,Carousel,2,7.875
Cafe,W•39 Bistro & Bakery,0,9.86
Cafe,Petite Menu,4,9.8
Cafe,La Brasserie,5,9.78
Cafe,Shop Wonderland,3,9.78
Cafe,House of Indocafe,2,9.77
Cafe,Flock Café,3,9.76
Cafe,Tart Blanc,2,9.73
Cafe,Joan Bowen Cafe,5,9.72
Cafe,Furry Pets Connection @ Guillemard Village,4,9.67
Cafe,Geisha Specialty Coffee | 瑰夏咖啡,5,9.06
Chinese_Restaurant,Na Na Curry,5,9.9
Chinese_Restaurant,Cherry Garden,5,9.84
Chinese_Restaurant,iSteamboat Chinese Restaurant,3,9.81
Chinese_Restaurant,Hainanese Delicacy,5,9.74
Chinese_Restaurant,126 搵到食,5,9.69
Chinese_Restaurant,Chef Kang's,2,9.67
Chinese_Restaurant,Alishan Taiwan Beef Stew/ Tendon Noodle,5,9.66
Chinese_Restaurant,Da Jia Lai Hainanese Chicken Rice,4,9.66
Chinese_Restaurant,iSteamboat Chinese Restaurant,4,9.65
Chinese_Restaurant,Si Chuan Dou Hua Restaurant 四川豆花饭庄,3,9.65
Deli,Fruit Tart Shop,4,8.05
Deli,Ladurée,5,7.78
Deli,Pie Kia @ Choa Chu Kang Xchange,4,6.13
Deli,Pies & Coffee,2,5.74
Deli,Pies & Coffee,5,5.535
Deli,Fruit Tart Shop,2,5.45
Deli,Ladurée,2,5
Deli,Ladurée,4,5
Deli,Pies & Coffee,3,5
Deli,Pies & Coffee,4,5
Diner,Han Kee Fish Soup,5,9.84
Diner,LeVel33,4,9.77
Diner,LeVel33,2,9.72
Diner,Knead To Eat,5,9.71
Diner,Taste Of Village Kitchen,2,9.71
Diner,Jonathan's - Singapore's First Purely Gluten-Free Kitchen!,5,9.66
Diner,Eighteen Chefs,0,9.65
Diner,Hua Long Fish Head Steamboat,4,9.6
Diner,Tenderfresh Classic,4,9.58
Diner,Kilo,3,9.575
English_Restaurant,Bread Yard,3,9.38
English_Restaurant,Toast Box 土司工坊,3,9.33
English_Restaurant,泉 Economical Bee Hoon,2,9.22
English_Restaurant,Big Fish Small Fish,4,8.74
English_Restaurant,The Udder Pancake,4,8.63
English_Restaurant,Jiaxiang Pancake,4,8.62
English_Restaurant,Toast Box 土司工坊,4,8.54
English_Restaurant,Mr Bean,5,8.49
English_Restaurant,Hatched,3,8.45
English_Restaurant,Lim Hai Sheng Cooked Food,5,8.35
European_Restaurant,Lewin Terrace,4,9.88
European_Restaurant,Burlamacco Ristorante,3,9.72
European_Restaurant,Pollen,3,9.72
