senti_clus_id,venue_clus_id,mrt_loc_clus_id,Count
Senti-Clus ID - 0,Type-Clus ID - 0,Loc-Clus ID - 13,1
Senti-Clus ID - 0,Type-Clus ID - 0,Loc-Clus ID - 3,1
Senti-Clus ID - 0,Type-Clus ID - 0,Loc-Clus ID - 7,4
Senti-Clus ID - 0,Type-Clus ID -1,Loc-Clus ID - 0,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 10,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 12,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 13,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 16,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 4,2
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 6,1
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 7,9
Senti-Clus ID - 0,Type-Clus ID - 2,Loc-Clus ID - 8,1
Senti-Clus ID - 0,Type-Clus ID -3,Loc-Clus ID - 16,1
Senti-Clus ID - 0,Type-Clus ID -5,Loc-Clus ID - 16,1
Senti-Clus ID - 0,Type-Clus ID -5,Loc-Clus ID - 7,1
Senti-Clus ID - 0,Type-Clus ID -6,Loc-Clus ID - 7,3
Senti-Clus ID - 0,Type-Clus ID -7,Loc-Clus ID - 7,2
Senti-Clus ID - 0,Type-Clus ID -8,Loc-Clus ID - 1,1
Senti-Clus ID - 0,Type-Clus ID -8,Loc-Clus ID - 6,1
Senti-Clus ID - 0,Type-Clus ID -8,Loc-Clus ID - 7,7
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 0,7
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 1,7
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 10,6
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 11,16
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 12,8
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 13,9
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 14,4
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 15,4
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 16,14
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 17,7
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 18,22
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 19,10
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 3,16
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 4,29
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 5,30
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 6,46
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 7,300
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 8,12
Senti-Clus ID - 2,Type-Clus ID - 0,Loc-Clus ID - 9,3
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 0,3
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 1,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 10,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 11,2
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 12,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 13,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 15,2
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 16,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 17,1
Senti-Clus ID - 2,Type-Clus ID -1,Loc-Clus ID - 18,7
