new_venue_type,venue_name,spe_clus_id,med_senti_score
American_Restaurant,221 Jurong East St 21 Coffee Shop,4,5.39
American_Restaurant,5 Star Corner Western Food,0,7.55
American_Restaurant,5 Star Corner Western Food,2,7
American_Restaurant,5 Star Corner Western Food,4,7.46
American_Restaurant,5 Star Corner Western Food,5,7.96
American_Restaurant,Alan Banana Leaves B.B.Q Seafood,2,5
American_Restaurant,Alan Banana Leaves B.B.Q Seafood,4,3.435
American_Restaurant,Astons Express,2,7.01
American_Restaurant,Astons Express,4,5
American_Restaurant,Astons Express,5,3.9
American_Restaurant,Astons Specialities,2,8.745
American_Restaurant,Astons Specialities,4,8.4
American_Restaurant,Badoque Cafe,2,7.57
American_Restaurant,Badoque Cafe,4,6.585
American_Restaurant,Banana Leaf BBQ Seafood,4,9.55
American_Restaurant,Bangkok Street Mookata,4,8.595
American_Restaurant,BBQ Box 串燒工坊,2,6.81
American_Restaurant,BBQ Box 串燒工坊,3,6.675
American_Restaurant,BBQ Box 串燒工坊,4,7.66
American_Restaurant,BBQ Box 串燒工坊,5,7.745
American_Restaurant,Bedrock Bar & Grill,2,7.54
American_Restaurant,Bedrock Bar & Grill,3,9.37
American_Restaurant,Bedrock Bar & Grill,4,7.78
American_Restaurant,Bedrock Bar & Grill,5,8.18
American_Restaurant,Bee Cheng Hiang,2,5
American_Restaurant,Bee Cheng Hiang,4,5
American_Restaurant,Bee Cheng Hiang,5,5
American_Restaurant,Best Choice Restaurant,2,8.63
American_Restaurant,Best Choice Restaurant,4,7.16
American_Restaurant,Big Bern’s American Grill,2,7.405
American_Restaurant,Big Bern’s American Grill,4,8.95
American_Restaurant,Big Bern’s American Grill,5,6.1
American_Restaurant,Big Bitez Signature,2,6.56
American_Restaurant,Big Bitez Signature,4,7.91
American_Restaurant,Bistecca Tuscan Steakhouse,2,7.09
American_Restaurant,Bistecca Tuscan Steakhouse,3,9.58
American_Restaurant,Bistecca Tuscan Steakhouse,4,7.2
American_Restaurant,Bistecca Tuscan Steakhouse,5,8.06
American_Restaurant,Black Angus Steakhouse,4,7.86
American_Restaurant,BLooiE's Roadhouse,2,8.03
American_Restaurant,BLooiE's Roadhouse,3,9.09
American_Restaurant,BLooiE's Roadhouse,4,6.01
American_Restaurant,BLooiE's Roadhouse,5,5
American_Restaurant,Blooie's Roadhouse Bar & Grill,2,8.18
American_Restaurant,Blooie's Roadhouse Bar & Grill,4,6.53
American_Restaurant,Blooie's Roadhouse Bar & Grill,5,9.47
American_Restaurant,Bluemist Cafe Bistro,2,8.59
American_Restaurant,Bluemist Cafe Bistro,4,8.18
American_Restaurant,Bluemist Cafe Bistro,5,6.945
American_Restaurant,Botak's Favorites,4,8.265
American_Restaurant,Buckaroo BBQ & Grill,2,5
American_Restaurant,Buckaroo BBQ & Grill,4,7.245
American_Restaurant,Buckaroo BBQ & Grill,5,8.605
American_Restaurant,Buddy Hoagies Café & Grill,4,8
American_Restaurant,Buddy Hoagies Café & Grill,5,5
American_Restaurant,Buddy Kitchen,4,8.255
American_Restaurant,Camp Kilo Charcoal Club,2,5
American_Restaurant,Camp Kilo Charcoal Club,4,7.14
American_Restaurant,Camp Kilo Charcoal Club,5,8.835
American_Restaurant,Chai Ho Satay 财好沙爹,2,5.565
American_Restaurant,Chai Ho Satay 财好沙爹,4,8.18
American_Restaurant,CHAN B.B.Q,4,8.32
American_Restaurant,Channel Sam,2,7.36
American_Restaurant,Char Grill Bar,2,7.38
American_Restaurant,Char Grill Bar,4,7.84
American_Restaurant,Charcoal Pit,2,5.58
American_Restaurant,Charcoal Pit,5,5
American_Restaurant,Char-Grill Bar,2,5.175
American_Restaurant,Char-Grill Bar,4,8.235
American_Restaurant,Char-Grill Bar,5,6.19
American_Restaurant,Chums Steak House,2,9.18
American_Restaurant,Chums Steak House,4,5.95
American_Restaurant,Ch叉r (Char) Casual Dining,0,8.35
American_Restaurant,Ch叉r (Char) Casual Dining,2,6.3
American_Restaurant,Ch叉r (Char) Casual Dining,4,7.46
American_Restaurant,Ch叉r (Char) Casual Dining,5,7.255
American_Restaurant,Clinton St. Baking Co,2,6.24
American_Restaurant,Clinton St. Baking Co,3,7.47
American_Restaurant,Clinton St. Baking Co,4,7.55
American_Restaurant,Clinton St. Baking Co,5,6.13
American_Restaurant,Cowboy Charcoal Grill,2,7.29
American_Restaurant,CUT by Wolfgang Puck,2,7.93
American_Restaurant,CUT by Wolfgang Puck,3,6.53
American_Restaurant,CUT by Wolfgang Puck,4,8.59
American_Restaurant,CUT by Wolfgang Puck,5,8.35
American_Restaurant,Dan Ryan's Chicago Grill,2,7.615
American_Restaurant,Dan Ryan's Chicago Grill,4,7.985
American_Restaurant,Dan Ryan's Chicago Grill,5,8.35
American_Restaurant,Decker Barbecue,2,7.025
American_Restaurant,Decker Barbecue,4,8.12
American_Restaurant,Decker Barbecue,5,8.28
American_Restaurant,Dolphins Restaurant,2,5.73
American_Restaurant,Dolphins Restaurant,4,7.11
American_Restaurant,Eddy Western Delight,4,5
American_Restaurant,Eggs & Berries,4,7.11
American_Restaurant,Eggs & Berries,5,7.06
American_Restaurant,Eight Cafe and Bar,2,7.78
American_Restaurant,Eight Cafe and Bar,4,5
American_Restaurant,Eight Cafe and Bar,5,5.54
American_Restaurant,Fat Boy The Burger Bar,4,6.48
American_Restaurant,Fosters | An English Rose Cafe,2,7.33
American_Restaurant,Fosters | An English Rose Cafe,4,7.79
American_Restaurant,Fosters | An English Rose Cafe,5,8.905
American_Restaurant,Fu Shi (Traditional) Roasted Wanton Mee 富市(传统)烧腊,2,5
American_Restaurant,Fu Shi (Traditional) Roasted Wanton Mee 富市(传统)烧腊,5,7.2
American_Restaurant,GAIA Korean Grill & Bar,2,8.5
American_Restaurant,GAIA Korean Grill & Bar,4,6.195
American_Restaurant,GAIA Korean Grill & Bar,5,8.57
American_Restaurant,Gordon Grill,2,9.39
American_Restaurant,Gordon Grill,4,7.42
American_Restaurant,Gordon Grill,5,6.53
American_Restaurant,Gyu-Kaku,4,7.2
American_Restaurant,Hard Rock Cafe,2,5
American_Restaurant,Hard Rock Cafe,4,6.19
American_Restaurant,Hard Rock Cafe,5,3.725
American_Restaurant,Hard Rock Cafe Singapore,0,5
American_Restaurant,Hard Rock Cafe Singapore,2,7.195
American_Restaurant,Hard Rock Cafe Singapore,4,7.06
American_Restaurant,Hard Rock Cafe Singapore,5,7.025
American_Restaurant,Heng Heng Western,2,8.24
American_Restaurant,Heng Heng Western,4,1.91
American_Restaurant,Hiang Ji Roasted Meat & Noodle House,2,5
American_Restaurant,Hiang Ji Roasted Meat & Noodle House,3,1.6
American_Restaurant,Holy Grill,2,8.86
American_Restaurant,Holy Grill,3,2.8
American_Restaurant,Holy Grill,4,9.215
American_Restaurant,Holy Grill,5,6.9
American_Restaurant,HooHa! Café,2,7.065
American_Restaurant,HooHa! Café,4,9.08
American_Restaurant,Hot Tomato Cafe & Grill,2,7.18
American_Restaurant,Hot Tomato Cafe & Grill,3,3.79
American_Restaurant,Hot Tomato Cafe & Grill,4,5
American_Restaurant,Hot Tomato Cafe & Grill,5,4.615
American_Restaurant,Hot Tomato Café And Grill,2,7.93
American_Restaurant,Hot Tomato Café And Grill,4,6.495
American_Restaurant,Hua Fong Kee Roasted Duck,2,5
American_Restaurant,Hua Fong Kee Roasted Duck,4,7.575
American_Restaurant,Hungry Heroes,2,8.575
American_Restaurant,Hungry Heroes,4,8.24
American_Restaurant,iSTEAKS Diner,2,5.19
American_Restaurant,iSTEAKS Diner,4,7.835
American_Restaurant,Ivan's Carbina @ 354 Woodz,0,7.7
American_Restaurant,Ivan's Carbina @ 354 Woodz,4,6.21
American_Restaurant,Jack's Place,2,7.29
American_Restaurant,Jack's Place,4,5.655
American_Restaurant,Jack's Place,5,7.46
American_Restaurant,Jerry's BBQ & Grill,0,6.89
American_Restaurant,Jerry's BBQ & Grill,2,5.38
American_Restaurant,Jerry's BBQ & Grill,4,7.47
American_Restaurant,Jerry's BBQ & Grill,5,5
American_Restaurant,J's Wok & Grill,2,8.755
American_Restaurant,J's Wok & Grill,4,7.46
American_Restaurant,J's Wok & Grill,5,8.12
American_Restaurant,Kay Lee Roast Meat Joint,0,2.47
American_Restaurant,Kay Lee Roast Meat Joint,2,7.2
American_Restaurant,Kay Lee Roast Meat Joint,3,5
American_Restaurant,Kay Lee Roast Meat Joint,4,7.33
American_Restaurant,Kay Lee Roast Meat Joint,5,6.855
American_Restaurant,Kelong Seafood & BBQ,2,7.11
American_Restaurant,Kelong Seafood & BBQ,3,4.79
American_Restaurant,Kelong Seafood & BBQ,4,7.42
American_Restaurant,Kelong Seafood & BBQ,5,7.695
American_Restaurant,Kim Heng Roasted Meat 金兴香港烧腊 (Kim Heng Roasted Meat),0,4.425
American_Restaurant,Kim Heng Roasted Meat 金兴香港烧腊 (Kim Heng Roasted Meat),2,7.705
American_Restaurant,Kim Heng Roasted Meat 金兴香港烧腊 (Kim Heng Roasted Meat),4,8.35
American_Restaurant,Kim Heng Roasted Meat 金兴香港烧腊 (Kim Heng Roasted Meat),5,8.69
American_Restaurant,Kim Peng Hiang,2,5
American_Restaurant,Kim Peng Hiang,4,7.08
American_Restaurant,Kontiki,2,4.815
American_Restaurant,Kontiki,4,9.38
American_Restaurant,Krazy Salads Bar,4,4.96
American_Restaurant,Kush,2,7.23
American_Restaurant,Kush,4,5
American_Restaurant,Kushiya Japanese Grilled House,4,5
American_Restaurant,Lawry's The Prime Rib,2,7.38
American_Restaurant,Lawry's The Prime Rib,3,8.16
American_Restaurant,Lawry's The Prime Rib,4,6.54
American_Restaurant,Lawry's The Prime Rib,5,8.285
American_Restaurant,Le Steak by Chef Amri,2,8.12
American_Restaurant,Le Steak by Chef Amri,3,7.2
American_Restaurant,Le Steak by Chef Amri,4,7.2
American_Restaurant,Lemon & Herb Rotisserie,2,8.35
American_Restaurant,Lemon & Herb Rotisserie,4,9.16
American_Restaurant,Leng Kee (BBQ,2,8.35
American_Restaurant,Leng Kee (BBQ,4,9.24
American_Restaurant,Leong Wei Roasted Delight,4,9.1
American_Restaurant,Leong Wei Roasted Delight,5,7.86
American_Restaurant,Lim Chee Guan 林志源,2,5
American_Restaurant,Lim Chee Guan 林志源,4,8.19
American_Restaurant,London Grill,3,8.4
American_Restaurant,London Grill,4,5
American_Restaurant,London Grill,5,5
American_Restaurant,Long Bar Steakhouse,2,8.27
American_Restaurant,Luke's Oyster Bar & Chop House,2,7.415
American_Restaurant,Luke's Oyster Bar & Chop House,4,9.07
American_Restaurant,Luke's Oyster Bar & Chop House,5,9.465
American_Restaurant,Mariners' Corner Restaurant,0,7.1
American_Restaurant,Mariners' Corner Restaurant,2,8.29
American_Restaurant,Mariners' Corner Restaurant,3,5
American_Restaurant,Mariners' Corner Restaurant,4,8.18
American_Restaurant,MEAT n' CHILL,2,9.17
American_Restaurant,MEAT n' CHILL,3,9.07
American_Restaurant,MEAT n' CHILL,4,8.26
American_Restaurant,MEAT n' CHILL,5,9.44
American_Restaurant,MELD Grilled Kitchen,4,4.915
American_Restaurant,MELD Grilled Kitchen,5,9.7
American_Restaurant,Meng Kee Seafood Fishhead Steamboat,4,4.87
American_Restaurant,Mmmm! Meats,4,7.185
American_Restaurant,Mmmm! Meats,5,8.18
American_Restaurant,MooJaa,0,9.03
American_Restaurant,MooJaa,4,7.47
American_Restaurant,mookalicious,4,8.23
American_Restaurant,Mookata Thai Steamboat & BBQ,2,8.015
American_Restaurant,Mookata Thai Steamboat & BBQ,4,7.15
American_Restaurant,Mookata Thai Steamboat & BBQ,5,7.2
American_Restaurant,Morganfield's,2,7.7
American_Restaurant,Morganfield's,3,9.78
American_Restaurant,Morganfield's,4,7.725
American_Restaurant,Morganfield's,5,6.1
American_Restaurant,Morton's The Steakhouse,2,7.79
American_Restaurant,Morton's The Steakhouse,4,8.05
American_Restaurant,Morton's The Steakhouse,5,8.35
American_Restaurant,Opus Bar & Grill,2,8.45
American_Restaurant,Opus Bar & Grill,3,8.95
American_Restaurant,Opus Bar & Grill,4,9.75
American_Restaurant,Ottimo Pasta & Grill,2,5.895
American_Restaurant,Ottimo Pasta & Grill,3,7.84
American_Restaurant,Ottimo Pasta & Grill,4,7.97
American_Restaurant,Oushin Japanese Steakhouse,4,8.02
American_Restaurant,OverEasy Orchard,2,8.29
American_Restaurant,OverEasy Orchard,3,9.6
American_Restaurant,OverEasy Orchard,4,7.99
American_Restaurant,Rasa Sayang Western Food,2,5
American_Restaurant,Rasa Sayang Western Food,3,5
American_Restaurant,Rasa Sayang Western Food,4,5
American_Restaurant,Rasa Sayang Western Food,5,3.06
American_Restaurant,Red City Seven,2,9.31
American_Restaurant,Red City Seven,3,5
American_Restaurant,Red City Seven,4,9.06
American_Restaurant,Red City Seven,5,5.63
American_Restaurant,Red Eye Smokehouse,2,8.13
