Continent,Pays,Name,Net_Worth
Afrique,Afrique du Sud,Johann Rupert,7.4
Afrique,Afrique du Sud,Nicky Oppenheimer,6.7
Afrique,Afrique du Sud,Christoffel Wiese,6.3
Afrique,Afrique du Sud,Koos Bekker,2.3
Afrique,Afrique du Sud,Patrice Motsepe,2.2
Afrique,Afrique du Sud,Stephen Saad,2.1
Afrique,Afrique du Sud,Allan Gray,1.6
Afrique,Algérie,Issad Rebrab,3.1
Europe,Allemagne,Georg Schaeffler,26.9
Europe,Allemagne,Beate Heister & Karl Albrecht Jr.,21.3
Europe,Allemagne,Dieter Schwarz,19.4
Europe,Allemagne,"Theo Albrecht, Jr.",19
Europe,Allemagne,Michael Otto,18.1
Europe,Allemagne,Susanne Klatten,16.8
Europe,Allemagne,Stefan Quandt,15.6
Europe,Allemagne,Johanna Quandt,13.9
Europe,Allemagne,Klaus-Michael Kuehne,11.9
Europe,Allemagne,Hasso Plattner,9.1
Europe,Allemagne,Klaus Tschira,8.6
Europe,Allemagne,August von Finck,7.7
Europe,Allemagne,Dietmar Hopp,7.2
Europe,Allemagne,Maria-Elisabeth Schaeffler,6.7
Europe,Allemagne,Reinhold Wuerth,6.7
Europe,Allemagne,Heinz Hermann Thiele,6.4
Europe,Allemagne,Curt Engelhorn,6.2
Europe,Allemagne,Karl-Heinz Kipp,5
Europe,Allemagne,Heinrich Deichmann,4.6
Europe,Allemagne,Ludwig Merckle,4.6
Europe,Allemagne,Michael Herz,4.5
Europe,Allemagne,Wolfgang Herz,4.5
Europe,Allemagne,Guenther Fielmann,4.4
Europe,Allemagne,Aloys Wobben,4.2
Europe,Allemagne,Wolfgang Reimann,4
Europe,Allemagne,Matthias Reimann-Andersen,4
Europe,Allemagne,Stefan Reimann-Andersen,4
Europe,Allemagne,Renate Reimann-Haas,4
Europe,Allemagne,Friede Springer,4
Europe,Allemagne,Ralph Dommermuth,3.9
Europe,Allemagne,Andreas von Bechtolsheim,3.9
Europe,Allemagne,Traudl Engelhorn,3.7
Europe,Allemagne,Ursula Engelhorn,3.7
