,uid,loc_clus_id
0,611228,5
1,3441492,5
2,32264433,7
3,4998202,4
4,2686277,5
5,58112,4
6,81916899,5
7,1096062,5
8,84775429,5
9,1108624,5
10,56333072,5
11,4526468,5
12,26218056,5
13,13307677,5
14,1406054,7
15,21607126,7
16,1367526,7
17,4933682,7
18,50171199,5
19,43344803,5
20,1891203,5
21,5916056,5
22,3123355,5
23,1339539,7
24,77304628,5
25,1873154,5
26,3203868,5
27,3999798,5
28,83608823,7
29,6134762,5
30,92668407,5
31,951387,7
32,418056,5
33,1501420,7
34,51903181,5
35,13052476,7
36,7395310,7
37,3257939,7
38,5929401,5
39,35302859,7
40,2015140,5
41,12995343,5
42,32930001,5
43,4571423,5
44,4556698,5
45,26072792,5
46,61526520,5
47,9611624,5
48,2033263,5
49,11820765,5
50,1768469,5
51,68512471,7
52,9097716,5
53,135653417,7
54,1007323,5
55,43754363,5
56,2438867,5
57,2808473,5
58,279800,7
59,2277088,7
60,5143521,7
61,2645623,7
62,127979403,7
63,3206498,5
64,82315783,7
65,12180270,5
66,4593091,7
67,12847366,5
68,52601912,5
69,685180,5
70,4291659,9
71,17958608,5
72,391047,10
73,5613336,5
74,17924592,7
75,16956093,7
76,6361372,5
77,29465563,5
78,6287500,5
79,5244883,5
80,12659423,7
81,48186649,5
82,48925353,5
83,36006024,5
84,1613250,7
85,8626838,19
86,6305194,5
87,47395556,5
88,551677,7
89,5971811,5
90,6082964,5
91,6408443,5
92,127083808,5
93,17927472,5
94,6373092,7
95,7393780,7
96,14140865,4
97,33450284,10
98,24957156,5
99,1490616,4
100,31670029,5
101,8561159,0
102,44577373,5
103,11349950,5
104,2648404,13
105,11810684,7
106,24528853,6
107,3314200,7
108,4209359,7
109,1015485,5
110,3006141,5
111,44338733,7
112,7414643,7
113,4240558,5
114,6949872,10
115,3081009,5
116,9005162,5
117,30559251,7
118,2159725,5
119,4675347,5
120,1025199,5
121,368258,5
122,5031420,5
123,1296313,5
124,3519746,5
125,549673,6
126,4947052,6
127,7672276,7
128,22376034,7
129,2384150,7
130,1514815,7
131,46707658,6
132,1194133,7
133,80028322,6
134,11276467,6
135,3082786,7
136,67152329,7
137,43204043,6
138,5070361,6
139,60942,7
140,2270600,6
141,93079903,7
142,4914582,6
143,3238165,6
144,3227893,7
145,2996921,7
146,70706175,7
147,1924833,7
148,329852,7
149,6509054,7
150,12210520,7
151,21556490,7
152,2462244,6
153,13484349,7
154,45833924,6
155,5304830,6
156,5712360,7
157,2514507,6
158,3217077,7
159,27413333,7
160,46177344,6
161,2101596,7
162,5533143,6
163,7385118,6
164,93889320,7
165,318797,7
166,2360091,7
167,8072716,6
168,3839934,6
169,12030579,6
170,11749012,6
171,14152289,7
172,75053980,6
173,2016878,7
174,1105813,6
175,2824318,6
176,2973851,6
177,11755606,7
178,23131359,6
179,329996,7
180,13543561,7
181,1144286,7
182,697327,6
183,11089830,7
184,145827618,6
185,105948,7
186,1051318,7
187,3747038,7
188,4092375,7
189,1745648,7
190,6261138,7
191,864350,7
192,4055743,6
193,147018,6
194,374547,7
195,1322780,6
196,384753,6
197,261779,7
198,52281483,6
199,5303767,9
200,10224886,7
201,1045239,9
202,52939601,7
203,1431019,0
204,4551766,9
205,5931985,5
206,41099456,7
207,12703379,9
208,435484,7
209,350406376,17
210,47309204,6
211,45344695,7
212,952812,7
213,1698765,7
214,475680,6
215,2228214,7
216,1900396,1
217,10995363,14
218,4969422,14
219,4352478,7
220,9575166,7
221,4706963,7
222,142945,5
223,4860535,5
224,4563783,7
225,7286913,5
226,29385027,10
227,32350043,7
228,48955,5
229,10017935,5
230,120611,7
231,339309,10
232,4501462,5
233,28060426,7
234,5379424,6
