uid,Label,total_count
683,C6,1
1230,C6,2
2173,C1,1
2173,C3,2
2173,C4,1
2173,C6,2
2173,C7,1
2173,CBD,2
2852,C6,1
3000,C5,1
3523,C7,1
3523,C8,1
3523,CBD,1
3722,C2,1
5106,CBD,2
5432,C6,2
5432,CBD,1
7209,C5,1
7209,CBD,1
7617,C5,1
7617,CBD,1
8446,C6,1
8803,CBD,1
9539,C6,1
9829,C5,2
9829,CBD,1
10040,C6,1
11247,C2,1
11318,C6,1
12455,CBD,1
12492,C8,1
13672,C6,1
14262,C5,1
14262,CBD,1
14756,C6,1
14994,C6,1
15008,CBD,1
15009,C2,3
15009,C3,4
15009,C4,1
15009,C5,9
15009,C6,15
15009,C7,16
15009,C8,9
15009,CBD,29
15009,E2,1
15009,E4,1
15009,NE1,4
15445,CBD,1
16041,C4,1
16215,C6,1
16925,C2,2
16925,C6,9
16925,C7,5
16925,C8,1
16925,CBD,5
18180,CBD,1
20415,C6,1
20415,CBD,1
20636,C6,1
22466,C8,1
23200,NE2,1
24602,C2,1
24602,C5,1
24776,CBD,2
24776,W1,1
25270,CBD,1
25887,CBD,1
26547,C5,1
26740,C8,1
28152,C7,1
28152,C8,1
28907,C6,1
29112,CBD,2
29112,W1,1
29860,C5,1
29860,C6,1
29871,C5,1
29871,C6,1
29871,W1,1
30649,C4,1
30649,C6,1
33544,C6,1
34032,C5,1
34032,C8,2
34032,CBD,6
34032,E1,1
34032,N1,1
34032,NE2,1
35747,CBD,1
38001,C5,3
38001,C7,1
38340,CBD,2
39410,C3,1
39410,C6,1
39410,C8,4
39410,CBD,1
39410,NE2,1
39726,C5,1
39807,C2,1
39807,C7,1
39807,C8,1
39807,CBD,1
40179,C2,1
40179,C6,4
40179,CBD,3
40179,E2,1
40225,CBD,1
41593,C2,1
46175,CBD,1
46456,C6,2
46527,C6,1
46572,C6,1
46572,CBD,3
46572,E3,1
47424,C6,1
47424,C8,1
48838,CBD,1
48955,C5,1
50104,C5,2
50104,C6,2
50104,C7,1
50104,CBD,2
50252,CBD,1
50252,E1,1
50372,C5,1
51196,CBD,1
52537,C1,1
52844,C3,1
52889,C1,1
52889,C3,2
52889,C4,1
52889,C8,1
52889,CBD,2
56326,C8,1
56481,C8,1
56637,C5,1
57563,C5,1
58112,C4,10
58112,C5,1
58112,C6,3
58112,C7,1
58112,CBD,1
58112,E3,1
58749,C5,1
58749,C7,1
58749,CBD,2
59364,C6,3
59364,E3,1
59441,C8,1
59441,CBD,1
59805,C6,1
60942,C6,4
60942,C7,1
60942,C8,1
60942,CBD,7
60942,E2,1
61090,CBD,1
61645,CBD,1
61761,C5,1
62857,C4,1
62857,C6,1
64169,C6,2
64818,C5,1
65135,C3,1
66850,C8,1
69731,CBD,1
69743,C1,2
69743,C6,1
69743,NE3,1
70936,C8,1
70936,CBD,1
71257,C6,1
71257,CBD,1
71283,C3,1
71305,CBD,1
71524,C5,1
71617,C3,1
71617,C4,1
71617,W2,1
71668,C3,1
71684,C2,1
71684,C4,1
71684,E3,1
71824,C1,1
71824,C7,1
71824,E3,1
71824,E4,5
72066,W2,1
72082,C8,1
73316,C6,1
74303,C8,1
74387,CBD,1
75176,C1,1
75215,C1,1
75215,W2,1
80118,C5,1
80118,C6,2
80118,CBD,2
81043,CBD,1
81142,C5,1
83131,C2,1
83131,C4,5
83131,C5,7
83131,C6,1
83131,C7,1
83131,CBD,7
84696,W1,1
86458,C6,1
86461,C7,1
86511,C6,1
86563,CBD,1
87184,NE3,1
87335,C5,3
87335,C6,1
88013,C2,3
88013,CBD,1
88285,C5,1
88285,C6,1
90546,C2,2
90546,C6,8
90546,C8,2
90546,CBD,4
91136,C2,3
91136,C3,5
91136,C4,1
91136,C5,11
91136,C6,2
91136,C7,1
91136,C8,2
91136,CBD,6
91136,E3,3
91136,W2,7
94411,C4,1
94411,C5,2
94411,C6,2
94411,C8,5
94411,CBD,2
94411,E1,1
94411,NE2,1
96222,C7,3
96222,E2,1
96308,C5,1
96308,CBD,1
97714,C2,1
99548,C2,2
102642,C6,2
102642,CBD,3
103498,C5,1
104684,C6,2
104684,CBD,1
105070,C6,1
105288,CBD,3
105346,C7,1
105346,CBD,1
105566,NE3,3
105742,C5,2
105742,C6,1
105796,C1,1
105948,C8,1
105948,CBD,1
105964,CBD,1
106060,CBD,2
106069,C1,1
106069,C3,2
106069,C8,1
106069,CBD,9
106069,E2,1
106069,NE2,1
106085,C6,1
106085,C8,1
106085,CBD,2
106150,C5,2
106157,C5,2
106359,C2,1
106359,C4,1
106359,C5,1
106359,C6,2
106359,C8,6
106359,CBD,2
106359,E1,3
106359,E3,3
106359,E4,7
106441,C6,2
106596,C8,1
106739,C2,3
106739,C6,1
106739,C7,1
106739,C8,1
106739,CBD,3
106739,E1,2
106739,NE3,1
107013,C1,1
107013,C2,2
107013,C4,4
107013,C6,8
107013,C7,7
107013,C8,4
107013,CBD,14
107013,E1,1
107013,E4,1
107017,CBD,1
107076,NE2,1
107092,C3,3
107092,C6,1
107092,CBD,1
107175,C6,2
107175,CBD,1
107252,CBD,1
107282,C4,1
107390,C6,1
107438,C2,1
107438,C3,1
107438,C5,1
107438,C7,1
107438,NE2,1
107560,E3,2
107698,CBD,3
107788,CBD,1
108030,C2,1
108030,C3,3
108030,C5,7
108030,C6,7
108030,C7,1
108030,C8,3
108030,CBD,11
108030,W1,2
108030,W2,2
108117,C4,1
108117,C7,1
108139,C4,1
108139,C7,1
108147,C1,2
108147,C4,3
108147,C5,2
108147,C6,1
108147,C7,2
108147,C8,5
108147,CBD,1
108147,E3,3
108147,NE1,2
108184,C1,1
108184,C4,1
108184,C7,1
108184,NE2,2
108251,C4,1
108251,C6,3
108251,CBD,4
108251,E3,1
108271,C5,1
108271,E1,1
108471,E1,1
108684,C3,1
108684,W2,1
108873,C2,1
108873,C5,4
109018,C4,1
109018,CBD,2
109018,NE3,3
109085,C6,1
109103,C4,2
109103,C5,1
109103,CBD,1
109103,NE1,2
109182,C1,1
109204,C5,1
109249,C3,1
109249,W1,1
109897,C1,2
109897,C5,1
109897,CBD,1
109897,NE1,4
109897,NE3,3
110405,CBD,1
111462,CBD,1
111739,C1,1
111739,C6,1
111739,C7,1
111739,CBD,3
111739,E2,1
111995,C6,1
112245,C8,1
112245,CBD,2
112491,C6,1
112491,CBD,1
112583,C5,1
112583,C7,1
112583,E1,2
113123,C1,1
113123,C2,1
113123,C7,1
113201,C3,5
113201,C4,2
113201,C5,1
113201,C6,1
113201,C8,1
113201,CBD,2
113201,E1,1
113201,E2,1
113201,E3,1
113201,NE1,2
113201,W2,1
113345,C4,3
113345,C6,1
113345,C7,1
113345,CBD,3
113345,W2,1
114103,C1,12
114103,C5,1
114103,C8,1
114103,CBD,1
114103,E4,2
114103,NE2,1
114103,NE3,3
115331,C1,1
115728,E2,1
115764,C3,1
115764,C4,1
116136,C1,1
116137,E2,1
116214,C4,1
116250,CBD,2
116431,C5,2
116431,CBD,1
117184,C5,1
117184,C6,1
117184,C7,1
117184,C8,1
117184,CBD,2
117652,C4,1
117652,C5,1
117830,CBD,1
117967,C4,1
117967,W2,1
118011,C1,1
118011,C4,2
118200,C1,2
118200,C3,2
118200,C4,1
118200,C8,2
118200,CBD,2
118200,E3,1
118389,C7,1
118510,C2,1
118709,C6,2
119013,C6,2
119013,C8,1
119201,E4,1
119421,CBD,1
120377,C6,1
120436,E1,1
120436,E3,1
120611,C4,1
120611,C5,6
120611,C6,2
120611,CBD,6
120611,E1,8
120611,E3,1
120611,NE1,2
120611,NE2,1
120826,C3,2
120826,C4,5
121556,E1,1
121556,NE3,1
121604,C3,1
121604,CBD,3
121633,E1,1
121716,C5,3
121716,C6,1
121716,C7,1
121729,C6,1
121733,C2,1
121733,C5,1
121733,C7,1
121733,C8,3
121733,CBD,1
121794,C4,1
121824,C6,1
121838,W3,2
122144,C7,1
123288,C5,1
123638,C4,1
123638,C6,1
123638,CBD,1
123736,C2,1
123736,C6,1
123928,CBD,3
123928,E3,1
124056,C1,1
124056,C4,1
124056,C5,1
124056,C8,1
124056,CBD,1
124333,C2,1
124333,C3,1
124333,C6,2
124333,CBD,3
124438,C2,1
124454,C6,1
124471,C6,1
124471,C7,1
124535,E4,2
125493,C5,1
125493,E3,1
126156,C4,1
126235,C2,1
126528,C2,1
126751,C1,2
126751,C3,1
126751,C4,1
126751,C5,1
126751,C6,1
126751,C8,2
126751,CBD,1
126751,E3,2
126751,NE2,2
126751,NE3,3
126751,W2,1
127157,C5,2
127157,C6,1
127157,CBD,2
127280,C5,1
127280,C6,1
127442,C6,1
127518,C8,1
127518,E4,1
127518,W2,1
127888,C2,2
127888,C6,1
127888,C8,1
127888,CBD,5
128121,C3,1
128207,C4,2
128207,W1,1
128377,C5,1
128377,C6,1
128377,CBD,2
128921,C5,1
129050,NE1,2
129150,C3,1
129150,C6,1
129150,C7,1
129150,CBD,1
129316,C6,1
129316,CBD,1
129416,C1,1
129416,C6,1
129416,E4,1
129416,NE3,3
129432,C7,1
129458,C8,1
129829,C6,1
129837,CBD,1
130907,C4,1
130907,C7,1
130907,W2,3
131025,C6,1
131147,C6,1
131147,CBD,1
131147,E1,1
131147,E4,1
131203,C2,2
131203,C5,1
131203,C6,2
131203,C8,1
131203,CBD,3
131203,E2,2
131203,W1,1
131375,C6,1
131558,C2,1
131562,CBD,1
132637,NE3,1
133024,C5,1
133024,CBD,3
133024,E4,1
133232,C1,1
133232,C3,2
133232,C4,3
133232,C5,1
133232,C6,3
133232,C7,2
133232,C8,6
133232,CBD,8
133232,E1,4
133232,NE2,2
133232,W2,1
133432,E3,1
133468,C5,2
133468,C6,1
133468,C8,2
133468,CBD,4
133468,E1,1
133481,C5,1
133481,C6,2
133481,C8,1
133481,CBD,4
133481,NE3,1
133529,CBD,1
133846,NE2,1
133944,CBD,1
134804,E3,1
135127,C6,1
135146,W2,1
135212,C1,1
135212,C5,1
135212,E3,1
135430,C5,1
135638,NE2,1
135726,C8,1
135726,CBD,3
136427,CBD,1
136670,C6,1
136786,NE1,8
136911,C6,1
136911,NE2,1
136954,CBD,2
136954,E3,1
136954,N1,1
137299,C4,1
137299,C7,1
137386,C2,2
137386,C4,3
137386,C5,3
137386,C6,2
137386,CBD,2
137386,W1,1
137593,C6,1
138602,C6,1
138791,C3,2
138791,C4,1
138791,C5,1
138791,C6,4
138791,C7,1
138791,C8,2
138791,CBD,5
138791,E3,2
138791,W2,1
138834,C2,2
138834,C4,1
138834,C5,1
138834,C6,2
138834,C7,1
138834,C8,2
138834,CBD,1
138834,E1,1
138834,E4,3
138834,NE1,2
138834,NE3,2
138875,E4,1
138973,C7,1
139045,C2,1
139087,C2,1
139087,C5,2
139087,C6,3
139087,CBD,2
139118,N1,1
139123,C3,1
139123,C6,2
139123,C7,1
139123,CBD,2
139284,C4,4
139284,C6,1
139284,CBD,1
139284,E3,1
140275,C4,1
140275,CBD,2
140547,CBD,1
140784,C1,3
140784,C8,1
140877,C1,1
141199,C7,1
142157,C5,2
142157,CBD,1
142241,CBD,1
142293,C2,1
142293,C3,1
142293,C5,3
142293,CBD,1
142293,E1,2
142758,C6,1
142862,C4,1
142862,C8,1
142862,E1,1
142945,C5,2
142957,C5,1
142988,CBD,1
143952,CBD,1
144045,C2,2
144045,C5,1
144045,C8,1
144045,CBD,1
144298,C4,7
144298,C5,2
144298,CBD,1
144298,NE3,1
144381,C8,1
144518,C2,1
144518,C4,2
144619,C4,1
144619,CBD,1
144714,CBD,2
144731,C8,1
144731,CBD,1
144731,W2,1
145127,C4,1
145127,CBD,2
145326,C7,1
145396,C5,1
145396,C6,1
145396,CBD,1
145396,NE2,2
145532,W1,1
145556,C1,2
145556,C2,1
145556,C4,1
145556,C6,2
145556,CBD,3
145556,W3,1
145638,CBD,1
145677,C5,1
145677,C6,1
145712,C4,1
145861,CBD,1
145865,C6,1
146182,C1,1
146210,C4,1
146564,CBD,1
146906,E3,1
146906,W1,1
146924,C5,2
146924,C6,1
147018,CBD,1
147050,C5,1
147050,C6,2
147384,C4,1
147416,E2,1
147547,CBD,1
147577,C2,1
147577,C4,1
147577,C5,1
147577,C6,1
147577,C7,2
147577,C8,1
147577,E1,1
147577,NE2,4
147577,W2,1
148381,CBD,1
149102,E3,1
149162,CBD,1
149198,C5,1
149198,C6,3
149198,CBD,1
149198,E3,3
149204,C5,1
149204,C6,1
149204,CBD,1
149453,C5,1
149453,CBD,2
149475,C2,1
149475,NE2,1
150615,C6,1
150725,NE3,1
150744,C1,1
150744,NE1,2
150874,C7,1
151209,CBD,3
151246,E2,1
151246,E4,1
151372,C8,3
151372,CBD,2
151972,C5,1
152349,C3,1
152349,C4,1
152349,C5,1
152534,C1,1
152534,C3,3
152534,C4,21
152534,C5,1
152534,W2,1
152816,C4,1
152831,C5,2
152831,C7,1
152831,C8,2
152831,CBD,1
152831,E1,2
152831,NE1,6
152915,C6,2
152954,C6,2
152954,E2,1
152954,E4,1
153020,C6,1
153066,C1,1
153319,C2,1
153319,C5,1
153319,C6,2
153319,C7,1
153319,C8,2
153319,CBD,3
153319,E3,2
153342,C4,1
154134,C6,2
154134,C7,4
154134,C8,1
154134,CBD,17
154378,NE1,2
154503,C6,1
154898,C6,1
154956,C2,1
154956,C5,6
154956,C6,3
154956,CBD,9
155139,C3,1
155139,W1,3
155139,W2,3
155264,CBD,1
155705,C4,1
155705,C5,4
155705,C6,5
155705,C8,2
155705,CBD,3
155705,E2,1
155705,E4,3
155705,W2,1
156017,C7,1
156017,CBD,3
156194,C8,7
156194,CBD,1
156194,E2,1
156194,E3,2
156343,C4,1
156343,C6,1
156343,CBD,1
156469,C3,1
156469,E2,1
156469,W3,1
156483,C6,1
156483,C8,4
156490,CBD,2
156726,C5,1
156969,C6,1
156969,CBD,6
157422,C5,1
157422,C7,1
157630,C4,1
157630,C5,3
157630,C8,1
157630,CBD,4
157630,E2,1
157630,NE2,1
157843,W2,2
157968,C8,1
157968,E3,1
158071,C5,1
158282,CBD,1
159215,CBD,1
159313,C6,1
160318,CBD,1
160440,C4,1
160440,NE2,1
160568,C2,2
160682,N1,1
160682,NE1,2
160682,NE3,1
160682,W2,2
161306,CBD,1
161438,NE2,1
162489,C4,1
162489,C7,2
162489,C8,1
162498,C4,2
162498,C6,1
162498,C8,1
162508,C4,1
162508,C6,1
162508,W2,1
162531,C7,1
162610,NE1,2
162778,C1,2
162778,C2,1
162778,C4,11
162778,C5,2
162778,C6,2
162778,C7,2
162778,CBD,1
162778,W1,1
162778,W2,1
162791,C3,1
162876,C2,1
162876,C4,1
162876,C8,3
162876,W2,1
162976,C7,1
163222,W1,1
164120,C2,1
164120,C8,2
164120,NE1,1
164120,W1,1
164545,C5,1
164545,CBD,2
164636,C5,1
164636,NE2,1
165896,C1,2
165896,C2,1
165896,C4,1
165896,C5,2
165896,C6,1
165896,C7,1
165896,CBD,2
166028,C5,1
166270,C8,1
167102,CBD,1
167365,C3,2
167365,C8,1
167365,NE2,4
167817,C1,2
167817,C5,1
168674,C3,2
168674,C5,1
168674,C8,1
168674,CBD,3
168674,E3,1
168806,C5,1
168806,C6,1
169000,CBD,1
170077,C4,1
170215,W2,1
170286,C7,1
170286,E2,1
170286,E3,1
170358,C6,1
170358,C8,2
170472,C4,1
170472,C5,1
170624,C1,1
170624,C3,1
170624,C5,1
170624,C6,3
170624,C8,6
170624,CBD,4
170624,E1,6
170624,E2,1
170624,E3,7
170624,E4,5
170624,W1,1
170624,W2,1
170930,C3,1
170930,CBD,1
170930,E3,1
171836,C4,1
172181,C1,1
172181,C2,1
172181,W2,1
172327,NE3,2
172357,C5,2
172357,C6,3
172455,C6,1
172549,E1,1
172549,E3,1
172675,C1,1
173466,C4,3
173466,CBD,1
173888,C5,1
174952,C1,2
174952,C2,2
174952,C3,1
174952,C4,2
174952,C5,7
174952,C6,3
174952,C7,2
174952,CBD,4
174952,N1,8
174952,NE2,1
174952,NE3,2
174952,W1,2
174952,W2,8
175089,C7,1
175251,C4,1
175443,C2,4
175443,C6,2
175443,C7,3
175443,CBD,2
175501,C4,1
175501,C5,2
175501,C6,1
175646,C7,1
175646,NE3,1
175728,CBD,1
175728,E2,1
176913,C4,1
176913,C5,5
176913,C6,4
176913,CBD,6
176913,E1,6
176913,E2,1
176913,E3,1
176913,E4,3
176913,NE3,1
177202,E1,1
178250,C1,2
178250,C5,2
178250,C6,1
178250,C8,2
178250,E2,1
178250,E4,1
178250,NE2,2
178537,C6,1
178537,CBD,1
178839,C3,1
178839,C5,1
179594,CBD,1
179716,C6,1
179716,CBD,1
179744,CBD,1
180288,C6,2
181101,C3,1
181101,C6,2
181101,W2,4
181422,C3,1
181422,CBD,2
181584,C4,1
181584,C7,1
182057,C8,1
182057,CBD,1
182057,E1,3
182207,C5,1
182852,W2,1
184325,CBD,1
185192,C4,1
185273,C3,1
185746,C7,1
185746,E1,1
185746,E4,4
185828,C2,2
185828,C3,1
186870,CBD,1
187334,C2,2
187334,C3,1
187334,C4,4
187334,C5,3
187334,C6,7
187334,C7,2
187334,C8,2
187334,CBD,3
187334,NE2,2
187334,W1,2
187334,W2,2
187965,C7,1
187965,C8,1
189108,E1,1
189224,C5,1
189224,CBD,1
189224,NE2,1
189799,N1,1
189858,W2,1
189902,E1,1
191781,C5,1
191781,C6,2
191781,CBD,1
191917,CBD,2
192111,C6,1
192296,C1,1
192296,C5,2
192296,C6,1
192296,C8,2
192506,C1,1
192506,C5,1
192506,C6,1
194032,NE2,2
194067,C5,1
194067,C8,1
194087,C4,1
194087,C6,1
194087,C8,1
194087,NE3,2
194101,C6,1
194101,CBD,1
194120,C1,2
194120,C4,1
194229,E4,1
194517,C4,1
194517,CBD,1
194517,NE1,3
194546,C6,1
194778,CBD,1
194798,C5,1
194798,C6,1
194818,C2,1
194818,C5,4
194818,C6,9
194818,C8,1
194818,CBD,11
194926,C8,1
195103,C6,1
195699,C7,1
195700,C7,1
196721,E2,1
197072,CBD,1
197210,C8,1
197313,C1,1
197321,CBD,1
197356,E2,1
197376,C2,1
197376,C4,3
197376,C5,1
197376,C6,4
197376,C7,1
197376,CBD,3
197411,CBD,1
197577,NE2,1
197752,C4,3
197752,C6,1
197752,CBD,1
198118,C4,8
198118,C5,1
198118,C6,1
198118,CBD,4
198357,C4,1
198357,E1,1
199045,C2,1
199045,C6,1
199045,CBD,6
200147,C5,1
200147,C6,1
200147,C7,1
200147,CBD,3
200147,NE1,2
200696,C2,2
200696,C3,4
200696,C4,4
200696,C6,5
200696,CBD,12
200696,E2,2
200696,E3,1
200799,C6,3
200799,C7,1
200799,C8,1
200799,CBD,4
200799,E1,2
200799,E3,3
201200,C6,1
201200,C8,1
201225,C2,1
201225,C6,1
201251,C5,2
201251,C6,1
201251,CBD,2
201272,C4,1
201411,CBD,1
201479,C7,1
201884,E3,1
202036,CBD,1
202142,C2,1
202142,CBD,2
202433,C2,2
202433,C3,4
202584,C5,1
204580,C6,1
204606,C2,1
204643,C6,1
205527,C5,1
205631,C2,2
205631,C5,1
205631,C8,1
205631,E3,1
206175,CBD,1
206199,C6,1
206644,C6,2
206644,CBD,1
208119,C7,1
208119,CBD,1
208191,C1,1
208191,C5,1
208191,CBD,1
208809,C7,2
208809,CBD,1
