uid,C1,C2,C3,C4,C5,C6,C7,C8,CBD,E1,E2,E3,E4,N1,NE1,NE2,NE3,W1,W2,W3
683,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2173,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0.1111111111111111,0,0.2222222222222222,0,0,0,0,0,0,0,0,0,0,0
2852,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3523,0,0,0,0,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
3722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5432,0,0,0,0,0,0.6666666666666666,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
7209,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
7617,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
8446,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9539,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9829,0,0,0,0,0.6666666666666666,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0
10040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11247,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11318,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12455,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12492,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14262,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
